"year","levendefødte drenge","levendefødte piger","fødte uden for ægteskab","dødfødte drenge","dødfødte piger","døde < 1 år pr. 1000 levendefødte"
"1901",37352,35867,7143,1004,809,134
"1902",37417,35422,7259,989,775,114
"1903",37077,35274,7289,1005,739,116
"1904",37889,35803,7589,1010,765,112
"1905",37610,35472,7696,964,817,121
"1906",38036,36181,8088,947,771,109
"1907",38135,36189,8116,1039,790,108
"1908",38828,37405,8536,1013,832,123
"1909",39171,37130,8351,1012,803,98
"1910",38622,36677,8327,988,794,102
"1911",37798,36135,8193,1009,742,106
"1912",38321,36338,8377,986,768,93
"1913",36994,35481,8313,996,739,94
"1914",37509,35785,8394,976,753,98
"1915",35982,34210,8201,973,802,95
"1916",36730,34829,8341,994,815,100
"1917",35926,34380,8105,1011,783,100
"1918",37245,35260,8243,1019,864,74
"1919",35436,33286,7172,938,778,92
"1920",39962,38268,9139,1102,895,90
"1921",40468,38347,8637,1134,867,77
"1922",38163,35736,7682,1021,796,85
"1923",38437,36390,8055,1031,808,83
"1924",37910,35926,7573,1031,772,84
"1925",36704,35193,7503,976,761,80
"1926",36287,34447,7588,925,718,84
"1927",34945,33079,7516,889,709,83
"1928",35266,33250,7561,899,737,81
"1929",33503,31794,7033,870,749,83
"1930",33878,32425,7096,878,710,80
"1931",33067,31199,6887,912,662,81
"1932",33020,31630,6824,852,671,72
"1933",32409,30371,6417,931,732,68
"1934",33600,31516,5995,923,782,64
"1935",33632,31591,5942,929,752,71
"1936",34047,32371,5644,955,802,67
"1937",34396,33044,5952,987,775,66
"1938",35230,33232,6135,966,798,59
"1939",35113,32801,5879,1001,826,58
"1940",35927,34194,6163,1031,783,50
"1941",36699,34607,6152,926,755,55
"1942",40976,38569,6724,919,779,47
"1943",43271,41048,7529,1008,823,45
"1944",46819,43822,8348,1063,748,48
"1945",49224,45838,9438,1068,814,48
"1946",49664,46447,7637,1040,793,46
"1947",47328,44386,7380,913,715,40
"1948",43857,41081,6550,853,692,35
"1949",41117,38802,5924,724,644,34
"1950",40734,38824,5923,819,680,31
"1951",39608,36951,5384,801,626,29
"1952",39632,37311,5208,764,608,29
"1953",40499,37762,5368,850,662,27
"1954",39309,37056,5130,809,690,27
"1955",39725,37120,5054,722,678,25
"1956",39538,37187,5236,753,609,25
"1957",38839,36425,5229,629,538,23
"1958",38456,36225,5393,629,545,22
"1959",37986,35942,5428,568,527,22
"1960",38959,37118,5953,513,445,22
"1961",39175,37264,6153,514,457,22
"1962",39849,37959,6490,509,425,20
"1963",42286,40127,7317,545,403,19
"1964",43006,40350,7784,476,430,19
"1965",44151,41645,8112,549,393,19
"1966",45412,42920,8983,463,412,17
"1967",41791,39619,9022,389,326,16
"1968",38491,36052,8310,344,292,16
"1969",36867,34431,8054,309,303,15
"1970",36382,34420,7811,347,257,14
"1971",38955,36404,9285,335,285,14
"1972",38692,36813,10877,318,259,12
"1973",36899,34996,12326,289,234,11
"1974",36556,34771,13411,230,211,11
"1975",36811,35260,15663,279,204,10
"1976",33734,31533,15672,243,188,10
"1977",31823,30055,16026,200,169,9
"1978",31875,30161,17301,196,168,9
"1979",30555,28909,18266,168,141,9
"1980",29352,27941,19004,147,106,8
"1981",27117,25972,18964,160,121,8
"1982",27063,25595,20152,133,136,8
"1983",26001,24821,20619,131,134,8
"1984",26572,25228,21715,119,111,8
"1985",27465,26284,23091,132,108,8
"1986",28434,26878,24268,120,122,8
"1987",29079,27142,25029,128,160,8
"1988",30324,28520,26291,144,148,8
"1989",31475,29876,28300,162,152,8
"1990",32620,30813,29435,155,143,7
"1991",33005,31353,29948,154,142,7
"1992",34812,32914,31426,174,165,7
"1993",34609,32760,31504,156,152,5
"1994",35639,34027,32642,167,142,5
"1995",35886,33885,32425,180,138,5
"1996",34819,32819,31302,173,151,6
"1997",34749,32899,30538,157,158,5
"1998",34059,32115,29643,149,131,5
"1999",33879,32341,29708,140,134,4
"2000",34432,32652,29902,93,131,5
"2001",33497,31961,29208,122,124,5
"2002",32964,31111,28568,104,81,4
"2003",33167,31432,28980,110,93,4
"2004",33077,31532,29344,136,106,4
"2005",32827,31455,29364,122,124,4
"2006",33404,31580,30126,131,131,4
"2007",32815,31267,29542,118,142,4
"2008",33531,31507,30019,121,131,4
"2009",32261,30557,29240,118,94,3
"2010",32465,30946,29798,101,120,3
"2011",30014,28984,28715,108,96,4
"2012",29785,28131,29140,99,97,3
"2013",28590,27283,28656,100,89,3
"2014",29254,27616,29784,90,80,4
"2015",29848,28357,31241,56,54,4
"2016",31781,29833,33243,74,72,3
"2017",31467,29930,33264,69,60,4
"2018",31611,29865,33305,55,50,4
"2019",31519,29648,33075,..,..,3
"2020",31175,29762,33012,..,..,3
"2021",32572,30901,34698,..,..,3
