"Nøgletal om befolkningen efter tid og bevægelsesart"

" ","Befolkning 1. januar (i 1000)"
"1901",2447
"1902",2477
"1903",2506
"1904",2532
"1905",2560
"1906",2589
"1907",2621
"1908",2652
"1909",2687
"1910",2722
"1911",2757
"1912",2788
"1913",2820
"1914",2851
"1915",2886
"1916",2921
"1917",2958
"1918",2991
"1919",3027
"1920",3061
"1921",3265
"1922",3306
"1923",3340
"1924",3372
"1925",3406
"1926",3439
"1927",3467
"1928",3487
"1929",3510
"1930",3531
"1931",3557
"1932",3590
"1933",3620
"1934",3651
"1935",3683
"1936",3711
"1937",3738
"1938",3765
"1939",3794
"1940",3826
"1941",3849
"1942",3882
"1943",3926
"1944",3973
"1945",4023
"1946",4075
"1947",4123
"1948",4168
"1949",4211
"1950",4252
"1951",4285
"1952",4315
"1953",4349
"1954",4389
"1955",4424
"1956",4454
"1957",4479
"1958",4501
"1959",4532
"1960",4566
"1961",4601
"1962",4630
"1963",4666
"1964",4703
"1965",4741
"1966",4779
"1967",4820
"1968",4855
"1969",4879
"1970",4907
"1971",4951
"1972",4976
"1973",5008
"1974",5036
"1975",5054
"1976",5065
"1977",5080
"1978",5097
"1979",5112
"1980",5122
"1981",5124
"1982",5119
"1983",5116
"1984",5112
"1985",5111
"1986",5116
"1987",5125
"1988",5129
"1989",5130
"1990",5135
"1991",5146
"1992",5162
"1993",5181
"1994",5197
"1995",5216
"1996",5251
"1997",5275
"1998",5295
"1999",5314
"2000",5330
"2001",5349
"2002",5368
"2003",5384
"2004",5398
"2005",5411
"2006",5427
"2007",5447
"2008",5476
"2009",5511
"2010",5535
"2011",5561
"2012",5581
"2013",5603
"2014",5627
"2015",5660
"2016",5707
"2017",5749
"2018",5781
"2019",5806
"2020",5823
"2021",5840
"2022",5873

"Antal fødte i 2017 er rettet med 125 flere fødte den 21. februar "
"2018.  Dødfødte piger og drenge summer ikke op til dødfødte i alt, da "
"det ikke er muligt at sætte køn på alle dødfødte børn "

